time_sec,VehicleSpeed_mph,EngineSpeed_rpm,EngineTorque,AccelPedalPos,BrakePedalPos,TurnSignal,Latitude_deg,Longitude_deg,Altitude,Distance,SteerAngle,TransmissionGear,SPaT_signal,SPaT_dist
148,34.64064048,1946.378978,130.5,20.784321,0,0,40.58092031,-105.0958737,151623.6321,1642.502239,4.77135637,6,1,303.2796665
149,35.72811635,2015.280416,132.1464988,21.568635,0,0,40.58078317,-105.0958664,151673.7876,1657.764138,-4.25,6,1,288.0177676
150,36.99412972,1447.041807,204,24.705891,0,0,40.58064187,-105.0958617,151764.2701,1673.48147,2.624552291,7,1,272.3004356
151,38.25001604,1489.488999,192.3351054,21.50397044,0,0,40.5804873,-105.0958656,151855.3594,1690.678412,3.915335356,7,1,255.1034936
152,39.10002062,1519.497731,139,20.000007,0,0,40.58033828,-105.0958687,151878.8906,1707.254172,3.373651002,7,1,238.5277335
153,39.34342561,1535.888119,60.5,14.117652,0,0,40.58018952,-105.095868,151852.1947,1723.794893,3.607694444,7,1,221.9870128
154,39.38764194,1731.147512,114.0747113,20.000007,0,0,40.58003301,-105.0958679,151804.2325,1741.198631,1.789774847,7,1,204.5832748
155,39.69152503,1703.602488,69,15.294123,0,0,40.57987612,-105.0958737,151783.396,1758.654979,2.27312799,7,1,187.1269272
156,39.83367816,1594.5,-0.342881816,0,0,0,40.57971075,-105.09588,151880.6354,1777.053174,1.97694188,7,1,168.7287321
157,39.19987838,1515.25,-17.46196677,0,0,0,40.57955611,-105.0958839,151949.2947,1794.251679,1.335496346,7,1,151.5302272
158,38.6269859,1484.566259,-38,0,0,0,40.57940622,-105.0958898,151945.146,1810.926795,3.60178945,7,1,134.8551109
159,37.92801361,1459,-38,0,0,0,40.57925239,-105.0959019,151941.4378,1828.065303,4.335813079,7,1,117.7166023
160,37.22583493,1426.533232,-37.5,0,0,0,40.57910131,-105.0959137,151860.3329,1844.896996,10.8125,7,1,100.8849098
161,36.55143721,1401.75,-37.5,0,0,0,40.57895352,-105.0959196,151754.687,1861.339496,6.82782883,7,1,84.44241023
162,35.81163562,1367.119442,-37.5,0,0,0,40.57880799,-105.0959222,151789.6673,1877.522952,4.875,7,1,68.25895427
163,35.11260464,1343.827525,-37.5,0,0.487604425,0,40.57866534,-105.0959237,151814.0248,1893.385833,2.538919559,7,1,52.39607277
164,34.28846739,1307.677049,-37.5,0,16.5964189,0,40.57852521,-105.0959289,151718.1931,1908.975037,4.024615304,7,1,36.80686863
165,31.23717012,1182.431958,-37.5,0,25.490205,0,40.57838995,-105.0959339,151690.57,1924.022673,4.149797251,7,1,21.75923292
166,28.74804224,1284.000286,-37.5,0,10.588239,0,40.57826487,-105.0959364,151780.6245,1937.93211,4.287659846,6,1,7.849795309
167,26.90338051,1498.971216,-37.5,0,20.000007,0,40.57814941,-105.0959389,151850.4121,1950.773031,4.4375,6,1,180.70543
168,23.65865439,1314.201016,-37.5,0,23.29767626,0,40.57804249,-105.0959412,151827.3278,1962.663365,6.087973531,6,1,168.8150963
169,22.35979724,1239.698415,-37.5,0,0,0,40.57794569,-105.0959431,151785.4732,1973.428115,5.150641289,6,1,158.0503467
170,21.38315463,1192.419961,-8.945589122,3.137256,0,0,40.57785632,-105.0959447,151802.3458,1983.366098,3.275957647,6,1,148.1123632
171,20.91010927,1166.879164,-7.530743343,0,0,0,40.57777065,-105.0959462,151842.67,1992.89355,-0.322878517,6,1,138.5849119
172,20.18178683,1011.897817,-13,0,0,0,40.57768744,-105.0959482,151813.9597,2002.147689,4.625,6,1,129.3307722
173,19.25895507,1169.680538,-5.464039674,0,0,0,40.57760717,-105.0959504,151823.9462,2011.075591,4.802661712,6,2,120.4028703
174,18.13840224,1342.864286,-13.5,0,0,0,40.57753041,-105.0959525,151872.3619,2019.611822,3.78613808,5,2,111.8666399
175,17.28936934,1282.753131,-7.496193432,1.568628,0,0,40.57745749,-105.0959544,151911.1787,2027.721942,3.516881218,5,2,103.7565197
176,17.59506313,1514.269152,132.6384398,19.60785,0,0,40.57738808,-105.0959567,151953.9439,2035.443277,4.3125,5,2,96.03518491
177,19.95877732,1521.12788,145.435105,17.254908,0,0,40.57731678,-105.0959591,151992.8084,2043.373387,5.722745997,5,2,88.10507502
178,21.86023403,1661.718837,130.559803,17.254908,0,0,40.5772381,-105.0959618,152014.6322,2052.124907,5.366437495,5,2,79.35355501
